City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
New Norfolk,-42.7826,147.0587,51.75,54.0,91,16,2.01,AU,1619723501
Shache,38.4167,77.2406,68.9,68.9,10,5,7.07,CN,1619723502
Busselton,-33.65,115.3333,50.0,50.0,98,68,14.81,AU,1619723334
Honiton,50.7996,-3.189,46.0,46.0,77,55,8.99,GB,1619723502
Águilas,37.4063,-1.5829,63.34,66.0,52,100,7.0,ES,1619723503
Vanimo,-2.6741,141.3028,77.04,77.04,86,87,4.36,PG,1619723503
Tasiilaq,65.6145,-37.6368,33.8,33.8,86,40,4.61,GL,1619723374
Yulara,-25.2406,130.9889,51.8,51.8,54,1,6.91,AU,1619723504
Lavrentiya,65.5833,-171.0,22.24,22.24,79,90,4.16,RU,1619723415
Bluff,-46.6,168.3333,51.01,51.01,95,100,10.0,NZ,1619723342
Maïné Soroa,13.2114,12.0241,89.29,89.29,7,0,10.6,NE,1619723504
Rikitea,-23.1203,-134.9692,76.08,76.08,71,100,10.11,PF,1619723338
Vaini,-21.2,-175.2,75.2,75.2,100,90,4.61,TO,1619723335
Saint-Philippe,-21.3585,55.7679,71.55,77.0,83,0,8.05,RE,1619723339
Nueva Loja,0.0847,-76.8828,73.4,73.4,100,90,3.44,EC,1619723505
Port Alfred,-33.5906,26.891,64.51,64.51,76,100,14.16,ZA,1619723505
Kampot,10.6167,104.1833,78.8,78.8,94,40,1.14,KH,1619723505
Padang,-0.9492,100.3543,76.32,76.32,91,100,4.9,ID,1619723498
Cidreira,-30.1811,-50.2056,68.7,68.7,60,0,6.67,BR,1619723475
Airai,-8.9266,125.4092,59.47,59.47,91,91,1.68,TL,1619723506
Eenhana,-17.4667,16.3333,72.0,72.0,43,15,5.44,NA,1619723506
Provideniya,64.3833,-173.3,30.9,30.9,64,45,0.76,RU,1619723361
Shakhtinsk,49.71,72.5872,50.0,50.0,57,0,6.71,KZ,1619723507
Poyarkovo,49.6,128.6833,41.29,41.29,45,75,7.4,RU,1619723507
Kholtoson,50.2981,103.3097,29.21,29.21,96,100,1.3,RU,1619723507
Mataura,-46.1927,168.8643,51.01,51.01,95,100,10.0,NZ,1619723350
Guerrero Negro,27.9769,-114.0611,74.59,74.59,41,0,12.73,MX,1619723508
Taos,36.4072,-105.5731,63.27,64.4,16,1,9.22,US,1619723508
Hirara,24.8,125.2833,69.39,69.39,76,100,1.03,JP,1619723509
Laguna,38.421,-121.4238,80.55,82.99,24,1,4.61,US,1619723509
Rypin,53.066,19.4094,51.01,51.01,57,93,1.01,PL,1619723509
Kapaa,22.0752,-159.319,74.77,75.2,69,40,14.97,US,1619723349
Ushuaia,-54.8,-68.3,42.8,42.8,56,20,3.44,AR,1619723510
Gongzhuling,43.5008,124.8198,44.64,44.64,76,100,1.9,CN,1619723510
Tutóia,-2.7619,-42.2744,84.2,84.2,74,75,9.22,BR,1619723510
Upernavik,72.7868,-56.1549,34.05,34.05,68,74,2.19,GL,1619723343
Lebu,-37.6167,-73.65,61.21,61.21,76,100,5.66,CL,1619723350
Bredasdorp,-34.5322,20.0403,55.4,55.4,82,99,3.44,ZA,1619723511
Hilo,19.7297,-155.09,74.41,77.0,69,90,5.75,US,1619722994
Mizque,-17.941,-65.3402,64.85,64.85,58,100,7.54,BO,1619723511
Ancud,-41.8697,-73.8203,58.28,64.99,82,75,16.11,CL,1619723491
Klaksvík,62.2266,-6.589,37.4,37.4,75,75,10.36,FO,1619723512
Mar del Plata,-38.0023,-57.5575,75.2,75.2,53,0,18.41,AR,1619723500
Cabo San Lucas,22.8909,-109.9124,77.95,82.99,40,1,12.66,MX,1619723225
Kiama,-34.6833,150.8667,53.91,55.0,92,0,1.01,AU,1619723512
Timberlake,37.3207,-79.2575,82.76,84.2,48,40,14.97,US,1619723513
Simao,22.7886,100.9748,62.46,62.46,93,100,2.71,CN,1619723513
Freeport,40.6576,-73.5832,65.59,70.0,68,75,10.36,US,1619723214
Saint Anthony,45.0205,-93.218,64.49,66.2,29,1,16.11,US,1619723513
Butte,39.6499,-121.5677,78.6,79.0,27,1,3.44,US,1619723514
Atuona,-9.8,-139.0333,78.85,78.85,74,2,7.47,PF,1619723514
Punta Arenas,-53.15,-70.9167,42.4,42.8,75,0,5.75,CL,1619723341
Muroto-misakicho,33.2833,134.15,60.06,60.06,77,0,11.12,JP,1619723515
Karratha,-20.7377,116.8463,79.59,79.59,40,0,9.15,AU,1619723515
Dingle,10.9995,122.6711,75.9,75.9,82,89,2.82,PH,1619723515
Tsimmerbude,54.675,20.1347,47.57,48.2,87,90,8.95,RU,1619723516
Pangnirtung,66.1451,-65.7125,30.2,30.2,86,90,4.61,CA,1619723516
Uitenhage,-33.7576,25.3971,57.6,57.99,94,20,12.66,ZA,1619723516
Yumbe,3.4651,31.2469,69.82,69.82,81,59,0.58,UG,1619723517
Tiksi,71.6872,128.8694,25.36,25.36,92,82,7.67,RU,1619723517
Dikson,73.5069,80.5464,-2.24,-2.24,99,93,6.4,RU,1619723517
Beatrice,40.2681,-96.747,74.14,75.2,27,40,21.85,US,1619723518
Albany,42.6001,-73.9662,56.01,57.0,90,100,2.15,US,1619723222
Trelew,-43.249,-65.3051,74.46,74.46,36,100,1.1,AR,1619723469
Port Elizabeth,-33.918,25.5701,57.2,57.2,94,20,12.66,ZA,1619723519
Nadym,65.5333,72.5167,31.73,31.73,90,100,10.02,RU,1619723519
Cape Town,-33.9258,18.4232,57.18,57.99,76,20,10.36,ZA,1619723512
Curăţele,46.7,22.4167,60.03,61.0,77,0,6.91,RO,1619723519
Norman Wells,65.282,-126.8329,35.6,35.6,48,75,11.5,CA,1619723340
Kiryat Gat,31.61,34.7642,72.66,77.0,62,0,8.95,IL,1619723520
Leningradskiy,69.3833,178.4167,21.85,21.85,91,100,4.36,RU,1619723479
Sesheke,-17.4759,24.2968,73.38,73.38,52,80,1.41,ZM,1619723520
Yellowknife,62.456,-114.3525,25.84,30.0,63,20,6.91,CA,1619723340
Kondinskoye,59.6481,67.41,40.15,40.15,80,97,11.39,RU,1619723521
Hobart,-42.8794,147.3294,53.24,54.0,94,90,5.75,AU,1619723345
Dirba,30.0667,75.9833,83.53,83.53,26,61,5.68,IN,1619723521
Roald,62.5833,6.1333,39.88,41.0,70,20,13.8,NO,1619723522
Saint-Pierre,-21.3393,55.4781,72.5,77.0,78,0,6.91,RE,1619723522
Mahébourg,-20.4081,57.7,77.0,77.0,83,75,17.27,MU,1619723439
Wenling,28.3669,121.36,62.01,62.01,70,0,6.91,CN,1619723522
Bambous Virieux,-20.3428,57.7575,74.62,75.99,100,75,14.97,MU,1619723523
Havre-St-Pierre,50.2334,-63.5986,50.0,50.0,62,90,11.5,CA,1619723523
Chokurdakh,70.6333,147.9167,-0.87,-0.87,100,100,3.96,RU,1619723523
Port Lincoln,-34.7333,135.8667,63.66,63.66,67,0,9.48,AU,1619723524
Tessalit,20.1986,1.0114,99.73,99.73,6,97,4.92,ML,1619723524
George Town,5.4112,100.3354,78.51,80.6,94,20,5.95,MY,1619723419
Ostrovnoy,68.0531,39.5131,22.82,22.82,89,98,11.88,RU,1619723359
